,Grado promedio de escolaridad de la población de 15 y más años,Población ocupada con ingresos de hasta un salario mínimo - 15 años y más,Población ocupada con ingresos de más de 5 salarios mínimos - 15 años y más,Indicador Trimestral de la Actividad Económica Estatal: Variación % respecto al trimestre previo
Aguascalientes,10.3491343202918,110843.0,9709.0,-0.16958838892371375
Baja California,10.2026545439928,457342.0,15470.0,2.7878894642053353
Baja California Sur,10.3425484887369,84725.0,26611.0,2.8920418403489236
Campeche,9.62513019267048,178031.0,9299.0,-6.579347039709575
Chiapas,7.78321829739686,1232846.0,14235.0,4.978611362975059
Chihuahua,9.99694205883146,517985.0,33204.0,5.514526757890565
Coahuila,10.4319955651311,339548.0,28784.0,-2.890891579425869
Colima,10.0467299821295,85671.0,8788.0,1.64168771679482
Ciudad de México,11.4820394079325,1550370.0,132953.0,-1.5975501479258867
Durango,9.74606943077146,284341.0,10888.0,-0.23493511995680194
Guanajuato,9.04378669807942,825957.0,18442.0,1.659166590758801
Guerrero,8.37269861691862,532851.0,6608.0,5.841166887314046
Hidalgo,9.37075890511716,597216.0,21445.0,8.538550450681527
Jalisco,9.89735341720182,794214.0,57514.0,5.286594983869449
Estado de México,10.0823980468445,2671391.0,109181.0,0.6211694358646724
Michoacán,8.59549015751925,737011.0,31870.0,3.93121772974807
Morelos,9.84478155712582,202315.0,2782.0,9.191291466811279
Nayarit,9.72952373557258,189384.0,9117.0,6.711730528341235
Nuevo León,10.7409594523138,503863.0,105823.0,0.3305761963632108
Oaxaca,8.11853599728597,809807.0,11803.0,2.4727951367957246
Puebla,9.16047208223702,1292555.0,27780.0,2.888072009435234
Querétaro,10.4845990231161,165957.0,17367.0,5.223593525596641
Quintana Roo,10.2392894887778,239093.0,17067.0,6.2126574015008345
San Luis Potosí,9.61312740129257,410035.0,17728.0,1.597620726117782
Sinaloa,10.2235084210957,299718.0,34634.0,2.9444162978026185
Sonora,10.4031969176912,404724.0,26961.0,3.2178804541999995
Tabasco,9.69339567490985,397547.0,15211.0,13.492056852368833
Tamaulipas,10.0922087841223,686664.0,25677.0,2.9549694710780017
Tlaxcala,9.83316962187281,285716.0,4892.0,-0.009874598311668592
Veracruz,8.74562905823893,1386227.0,34596.0,-0.10166777493213885
Yucatán,9.59471829566621,473500.0,17236.0,-1.0574777880401882
Zacatecas,9.24556342669432,236471.0,6985.0,0.35225624528688115
