,Edificación residencial,"Elaboración de azúcares, chocolates, dulces y similares","Conservación de frutas, verduras, guisos y otros alimentos preparados",Elaboración de productos lácteos,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",Preparación y envasado de pescados y mariscos,Elaboración de productos de panadería y tortillas,Otras industrias alimentarias,Industria de las bebidas,Industria del tabaco,Confección de prendas de vestir,Fabricación de calzado,Fabricación de productos farmacéuticos,"Fabricación de jabones, limpiadores y preparaciones de tocador",Comercio al por mayor de abarrotes y alimentos,Comercio al por menor de abarrotes y alimentos ,"Comercio al por menor de bebidas, hielo y tabaco",Comercio al por menor en tiendas de autoservicio,Comercio al por menor en tiendas departamentales,"Comercio al por menor de ropa, bisutería y accesorios de vestir",Comercio al por menor de calzado,Comercio al por menor de artículos para el cuidado de la salud,Comercio al por menor de artículos de perfumería y joyería,Comercio al por menor de artículos para el esparcimiento,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos","Comercio al por menor de mascotas, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal",Comercio al por menor de muebles para el hogar y otros enseres domésticos,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación",Comercio al por menor de artículos para la decoración de interiores,Comercio al por menor de artículos usados,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios",Comercio al por menor de automóviles y camionetas,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones","Comercio al por menor de combustibles, aceites y grasas lubricantes","Comercio al por menor exclusivamente a través de internet, y catálogos impresos, televisión y similares",Transporte aéreo regular,Transporte colectivo urbano y suburbano de pasajeros de ruta fija,Transporte colectivo foráneo de pasajeros de ruta fija,Servicio de taxis y limusina,Transporte escolar y de personal,Servicios de mensajería y paquetería foránea,Servicios de mensajería y paquetería local,Operadores de servicios de telecomunicaciones alámbricas e inalámbricas,Operadores de servicios de telecomunicaciones vía satélite,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados",Banca central,Instituciones de intermediación crediticia y financiera no bursátil,"Actividades bursátiles, cambiarias y de inversión financiera","Compañías de seguros, fianzas, y administración de fondos para el retiro",Servicios inmobiliarios,Servicios de alquiler de bienes muebles,"Servicios profesionales, científicos y técnicos",Servicios médicos de consulta externa y servicios relacionados,Hospitales,"Servicios artísticos, culturales y deportivos, y otros servicios relacionados","Museos, sitios históricos, zoológicos y similares",Servicios de alojamiento temporal,Servicios de preparación de alimentos y bebidas,Asociaciones y organizaciones
Aguascalientes,122,28,15,190,17,0,728,71,136,0,331,9,4,30,351,5706,479,450,23,1956,317,706,358,400,1114,598,355,417,343,327,1285,205,480,176,3,4,14,33,2,16,67,0,60,1,7,0,813,20,122,597,241,1440,2291,31,62,14,129,6136,566
Baja California,51,3,7,40,5,1,510,29,232,0,120,1,2,10,151,2633,693,697,19,768,137,602,199,127,383,218,290,204,206,437,506,142,499,297,1,1,14,22,5,4,31,3,43,1,0,0,996,135,93,418,245,860,1525,51,31,6,85,3252,752
Baja California Sur,68,2,2,37,6,1,233,8,98,0,59,1,2,2,83,1065,244,374,12,304,60,183,54,66,133,129,65,91,68,63,268,59,127,104,0,2,3,8,3,4,29,1,27,0,1,0,337,3,33,187,91,437,563,20,26,8,82,1590,306
Campeche,40,10,1,21,4,2,276,27,49,0,120,1,0,5,65,2580,395,195,13,375,113,194,100,63,236,206,70,105,87,59,240,25,115,47,1,3,21,6,0,2,12,0,27,0,0,0,282,0,47,102,76,332,523,17,18,11,103,1734,500
Chiapas,126,9,16,35,28,1,930,40,376,0,348,24,6,7,165,8660,801,282,18,1215,259,660,284,251,771,645,271,369,271,221,772,77,445,147,3,5,36,108,3,3,41,0,38,1,1,0,702,2,105,404,258,1000,1574,56,100,14,192,5378,1164
Chihuahua,90,9,17,105,30,0,653,45,34,1,129,12,9,19,262,3350,991,694,34,1345,419,669,340,266,561,454,302,330,305,348,1000,118,541,301,5,5,16,23,7,7,49,3,47,2,7,0,1090,51,157,504,252,1208,1765,39,43,12,129,4185,816
Coahuila,74,12,9,52,8,0,1007,34,44,0,125,1,3,19,116,4369,698,666,27,968,179,500,152,164,974,308,226,227,215,244,672,89,338,215,1,0,29,13,4,17,34,3,51,0,1,0,819,15,93,423,262,779,1303,34,62,12,60,2875,798
Colima,80,9,4,43,2,0,214,17,35,0,52,13,0,3,57,1078,83,183,8,417,78,204,93,74,157,172,106,96,94,91,216,41,143,41,2,1,6,18,1,1,18,1,17,0,0,0,214,12,59,130,73,359,707,16,25,7,50,1725,241
Ciudad de México,55,13,5,74,6,0,514,21,95,0,306,19,21,14,133,4499,269,546,39,6963,1271,1680,1894,1870,2296,1899,927,2029,985,218,1224,41,1161,87,12,30,31,14,5,1,71,6,73,4,13,12,1704,79,160,651,95,3143,2760,68,154,77,471,7956,741
Durango,79,21,15,63,13,0,595,28,165,0,108,6,0,7,149,4613,378,473,21,923,140,486,151,226,811,390,176,186,242,251,714,66,351,217,3,1,38,27,1,7,19,3,44,1,2,0,529,21,49,270,123,797,1250,32,29,16,106,3939,556
Guanajuato,6,9,0,10,1,0,94,0,6,0,13,1,0,1,7,855,66,48,4,166,32,68,52,53,99,345,32,26,31,37,73,1,10,8,2,0,5,1,0,0,4,1,17,0,0,0,121,1,4,26,4,111,190,3,12,23,146,640,70
