CLEE,Id,Nombre,Razon_social,Clase_actividad,Estrato,Tipo_vialidad,Calle,Num_Exterior,Num_Interior,Colonia,CP,Ubicacion,Telefono,Correo_e,Sitio_internet,Tipo,Longitud,Latitud,CentroComercial,TipoCentroComercial,NumLocal,State
01001722514008101000000000U2,7702727,LONCHERIA EL VAQUERO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,WASCO,114,0,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4491125120,,,Fijo,-102.29065083,21.87998632,,,,Aguascalientes
01001722514008801000000000U7,6924209,LONCHERIA RYK,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,401,0,EL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.29155423,21.87907014,,,,Aguascalientes
01001722212001051000000000U7,20688,TACOS AVENIDA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,418,,CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.29168702,21.87924402,,,,Aguascalientes
01001722518003461000000000U6,6979709,COCINA ECONOMICA MICHELLE,,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,249,0,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4494004904,,,Fijo,-102.28910925,21.87944693,,,,Aguascalientes
01001722514003121000000000U5,23425,TACOS DE CANASTA SAR,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,449,0,EL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.28912148,21.87923838,,,,Aguascalientes
01001722518003431000000000U9,6924254,LA COSINA DE MALU,,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,307,0,EL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.28910773,21.87901886,,,,Aguascalientes
01001722514001791000000000U7,23435,TORTAS AHOGADAS EL TAPATIO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,16 DE SEPTIEMBRE,302,0,EL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.29180240,21.87900359,,,,Aguascalientes
01001722219017551001000000U3,23609,LONCHERIA MAXX,,Restaurantes con servicio de preparación de tacos y tortas,6 a 10 personas,CALLE,16 DE SEPTIEMBRE,231,0,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4492872198,,,Fijo,-102.29189077,21.87926875,,,,Aguascalientes
01001722518003471000000000U5,6979920,LICEA DESAYUNOS,,Restaurantes que preparan otro tipo de alimentos para llevar,0 a 5 personas,CALLE,16 DE SEPTIEMBRE,201,0,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4491979852,LICEA.DESAYUNOS@GMAIL.COM,,Fijo,-102.29196863,21.87966377,,,,Aguascalientes
01001722219003891000000000U9,20585,CENADURIA YOLA,,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,206,0,CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4491007233,,,Fijo,-102.28940655,21.88065882,,,,Aguascalientes
01001722514008821000000000U5,6924257,BURRITO TORREON,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,316,0,DEL LLANITO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.28905589,21.87845605,,,,Aguascalientes
01001722513018931000000000U2,6924419,CENADURIA SIN NOMBRE,,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,,,DEL LLANITO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.28920129,21.87788618,,,,Aguascalientes
01001722219000181000000000U8,23608,CENADURIA LA CHATITA,,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,CALLE,FRANCISCO JAVIER MINA,107,0,DEL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4499166752,,,Fijo,-102.29275754,21.87876421,,,,Aguascalientes
01001722514000031000000000S9,23610,TACOS DE CANASTA CAPULETO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,308,0,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4491995795,TACOSCAPULETOS_25@HOTMAIL.COM,WWW.TACOSDECANASTACAPULETO.COM,Fijo,-102.29300719,21.87912969,,,,Aguascalientes
01001722514009521000000000U0,8525337,LETS LUNCH LONCHERIA,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,JUAN DE MONTORO,402,,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4493406573,LETSLUNCH1119@GMAIL.COM,,Fijo,-102.28979688,21.88186802,,,,Aguascalientes
01001722513018801000000000U7,6924204,MI LIC,,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,321,0,DEL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.29305271,21.87895070,,,,Aguascalientes
01001722517002751010000000U3,37583,CENADURIA DOÑA GENO,,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,435,,DEL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.28936765,21.87682771,,,,Aguascalientes
01001722219020361000000000U2,23529,LONCHERIA EL MOLES,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,CALLE,FRANCISCO G. HORNEDO,323,0,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",4499179343,,,Fijo,-102.29348355,21.87964555,,,,Aguascalientes
01001722212002151000000000U4,23600,LECHON GUICHO,,Restaurantes con servicio de preparación de tacos y tortas,0 a 5 personas,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,307,0,DEL ENCINO,20240,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.29343279,21.87888943,,,,Aguascalientes
01001722511003042000000000S9,8540513,WINGS AIR FORCE,,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida,6 a 10 personas,AVENIDA,FRANCISCO I. MADERO,,,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,WINGSAIRFORCE@HOTMAIL.COM,,Fijo,-102.29120929,21.88234637,,,,Aguascalientes
01001722513001301000000000U7,37256,LOS ANTOJOS DE LA PANZA,,Restaurantes con servicio de preparación de antojitos,0 a 5 personas,CALLE,RIO RHIN,239,0,ZONA CENTRO,20000,"AGUASCALIENTES, Aguascalientes, AGUASCALIENTES",,,,Fijo,-102.28739505,21.88049393,,,,Aguascalientes
